timestamp_utc,records_lag_max,rabbitmq_total_messages
2026-07-23T21:30:00.132894+00:00,495,
2026-07-23T21:30:01.684904+00:00,247,
2026-07-23T21:30:03.236223+00:00,909,
2026-07-23T21:30:04.764063+00:00,0,
2026-07-23T21:30:06.294152+00:00,0,
2026-07-23T21:30:07.850397+00:00,598,
2026-07-23T21:30:09.394300+00:00,0,
2026-07-23T21:30:10.926522+00:00,157,
2026-07-23T21:30:12.464892+00:00,996,
2026-07-23T21:30:14.032679+00:00,732,
2026-07-23T21:30:15.559498+00:00,0,
2026-07-23T21:30:17.111372+00:00,889,
2026-07-23T21:30:18.674642+00:00,889,
2026-07-23T21:30:20.209383+00:00,0,
2026-07-23T21:30:21.753671+00:00,695,
2026-07-23T21:30:23.340351+00:00,687,
2026-07-23T21:30:24.924018+00:00,405,
2026-07-23T21:30:26.456863+00:00,306,
2026-07-23T21:30:28.023290+00:00,532,
2026-07-23T21:30:29.574438+00:00,205,
2026-07-23T21:30:31.116982+00:00,225,
2026-07-23T21:30:32.693530+00:00,576,
2026-07-23T21:30:34.290111+00:00,821,
2026-07-23T21:30:35.884382+00:00,575,
2026-07-23T21:30:37.442231+00:00,670,
2026-07-23T21:30:38.998009+00:00,549,
2026-07-23T21:30:40.556780+00:00,496,
2026-07-23T21:30:42.115256+00:00,478,
2026-07-23T21:30:43.675767+00:00,424,
2026-07-23T21:30:45.272213+00:00,816,
2026-07-23T21:30:46.849848+00:00,908,
2026-07-23T21:30:48.405812+00:00,398,
2026-07-23T21:30:49.976357+00:00,763,
2026-07-23T21:30:51.524670+00:00,347,
2026-07-23T21:30:53.091544+00:00,285,
2026-07-23T21:30:54.648396+00:00,487,
2026-07-23T21:30:56.211249+00:00,574,
2026-07-23T21:30:57.770601+00:00,468,
2026-07-23T21:30:59.313613+00:00,302,
2026-07-23T21:31:00.858191+00:00,294,
2026-07-23T21:31:02.413812+00:00,261,
2026-07-23T21:31:03.960905+00:00,290,
2026-07-23T21:31:05.503022+00:00,551,
2026-07-23T21:31:07.057494+00:00,334,
2026-07-23T21:31:08.633646+00:00,115,
